point_x,point_y,point_z,reachable,error_mm
0.24285714285714285,-0.4,0.4214285714285714,1,0.05118316759837305
0.24285714285714285,-0.4,0.5142857142857142,1,0.24554399939862778
0.24285714285714285,-0.4,0.6071428571428571,1,0.02460645697351045
0.24285714285714285,-0.4,0.7,1,0.028457999517146577
0.24285714285714285,-0.2857142857142857,0.3285714285714285,1,0.01851672850139336
0.24285714285714285,-0.2857142857142857,0.4214285714285714,1,0.02289071517165483
0.24285714285714285,-0.2857142857142857,0.5142857142857142,1,0.022395182913298988
0.24285714285714285,-0.2857142857142857,0.6071428571428571,1,0.02153271059414835
0.24285714285714285,-0.2857142857142857,0.7,1,0.02757442082523627
0.24285714285714285,-0.17142857142857143,0.3285714285714285,1,0.01275122000706462
0.24285714285714285,-0.17142857142857143,0.4214285714285714,1,0.017021384529550924
0.24285714285714285,-0.17142857142857143,0.5142857142857142,1,0.018120691271438193
0.24285714285714285,-0.17142857142857143,0.6071428571428571,1,0.02323911339453821
0.24285714285714285,-0.17142857142857143,0.7,1,0.03738786073353558
0.24285714285714285,-0.05714285714285716,0.3285714285714285,1,0.029358190746108088
0.24285714285714285,-0.05714285714285716,0.4214285714285714,1,0.012287867719402991
0.24285714285714285,-0.05714285714285716,0.7,1,0.018157656323199697
0.24285714285714285,0.05714285714285716,0.3285714285714285,1,0.012186091897311697
0.24285714285714285,0.05714285714285716,0.4214285714285714,1,0.01442937322240236
0.24285714285714285,0.05714285714285716,0.7,1,0.11647138471822771
0.24285714285714285,0.17142857142857149,0.3285714285714285,1,0.01671735868042658
0.24285714285714285,0.17142857142857149,0.7,1,0.13199839400427354
0.24285714285714285,0.2857142857142857,0.7,1,0.05544535144650342
0.24285714285714285,0.4,0.6071428571428571,1,0.031327991372432994
0.24285714285714285,0.4,0.7,1,0.024467460226673867
0.3142857142857143,-0.4,0.6071428571428571,1,0.04185546268523638
0.3142857142857143,-0.4,0.7,1,0.02547214172496776
0.3142857142857143,-0.2857142857142857,0.6071428571428571,1,4.319044281520152
0.3142857142857143,-0.2857142857142857,0.7,1,0.0385657302722412
0.3142857142857143,-0.17142857142857143,0.7,1,0.042089906796863696
